20uM_vT_1_5c,20uM_vT_1_10c,20uM_vT_1_15c,20uM_vT_1_20c,20uM_vT_1_25c,20uM_vT_1_30c,20uM_vT_1_35c,20uM_vT_2_5c,20uM_vT_2_10c,20uM_vT_2_15c,20uM_vT_2_20c,20uM_vT_2_25c,20uM_vT_2_30c,20uM_vT_2_35c,50uM_vT_1_5c,50uM_vT_1_10c,50uM_vT_1_15c,50uM_vT_1_20c,50uM_vT_1_25c,50uM_vT_1_30c,50uM_vT_1_35c,50uM_vT_2_5c,50uM_vT_2_10c,50uM_vT_2_15c,50uM_vT_2_20c,50uM_vT_2_25c,50uM_vT_2_30c,50uM_vT_2_35c,75uM_vT_1_5c,75uM_vT_1_10c,75uM_vT_1_15c,75uM_vT_1_20c,75uM_vT_1_25c,75uM_vT_1_30c,75uM_vT_1_35c,75uM_vT_2_5c,75uM_vT_2_10c,75uM_vT_2_15c,75uM_vT_2_20c,75uM_vT_2_25c,75uM_vT_2_30c,75uM_vT_2_35c,100uM_vT_1_5c,100uM_vT_1_10c,100uM_vT_1_15c,100uM_vT_1_20c,100uM_vT_1_25c,100uM_vT_1_35c,100uM_vT_2_5c,100uM_vT_2_10c,100uM_vT_2_15c,100uM_vT_2_20c,100uM_vT_2_25c,100uM_vT_2_30c,100uM_vT_2_35c,125uM_vT_1_5c,125uM_vT_1_10c,125uM_vT_1_15c,125uM_vT_1_20c,125uM_vT_1_30c,125uM_vT_1_35c,150uM_vT_1_5c,150uM_vT_1_10c,150uM_vT_1_15c,150uM_vT_1_20c,150uM_vT_1_25c,150uM_vT_1_30c,150uM_vT_1_35c,20uM_vT_1_5c_MOL,20uM_vT_1_10c_MOL,20uM_vT_1_15c_MOL,20uM_vT_1_20c_MOL,20uM_vT_1_25c_MOL,20uM_vT_1_30c_MOL,20uM_vT_1_35c_MOL,20uM_vT_2_5c_MOL,20uM_vT_2_10c_MOL,20uM_vT_2_15c_MOL,20uM_vT_2_20c_MOL,20uM_vT_2_25c_MOL,20uM_vT_2_30c_MOL,20uM_vT_2_35c_MOL,50uM_vT_1_5c_MOL,50uM_vT_1_10c_MOL,50uM_vT_1_15c_MOL,50uM_vT_1_20c_MOL,50uM_vT_1_25c_MOL,50uM_vT_1_30c_MOL,50uM_vT_1_35c_MOL,50uM_vT_2_5c_MOL,50uM_vT_2_10c_MOL,50uM_vT_2_15c_MOL,50uM_vT_2_20c_MOL,50uM_vT_2_25c_MOL,50uM_vT_2_30c_MOL,50uM_vT_2_35c_MOL,75uM_vT_1_5c_MOL,75uM_vT_1_10c_MOL,75uM_vT_1_15c_MOL,75uM_vT_1_20c_MOL,75uM_vT_1_25c_MOL,75uM_vT_1_30c_MOL,75uM_vT_1_35c_MOL,75uM_vT_2_5c_MOL,75uM_vT_2_10c_MOL,75uM_vT_2_15c_MOL,75uM_vT_2_20c_MOL,75uM_vT_2_25c_MOL,75uM_vT_2_30c_MOL,75uM_vT_2_35c_MOL,100uM_vT_1_5c_MOL,100uM_vT_1_10c_MOL,100uM_vT_1_15c_MOL,100uM_vT_1_20c_MOL,100uM_vT_1_25c_MOL,100uM_vT_1_35c_MOL,100uM_vT_2_5c_MOL,100uM_vT_2_10c_MOL,100uM_vT_2_15c_MOL,100uM_vT_2_20c_MOL,100uM_vT_2_25c_MOL,100uM_vT_2_30c_MOL,100uM_vT_2_35c_MOL,125uM_vT_1_5c_MOL,125uM_vT_1_10c_MOL,125uM_vT_1_15c_MOL,125uM_vT_1_20c_MOL,125uM_vT_1_30c_MOL,125uM_vT_1_35c_MOL,150uM_vT_1_5c_MOL,150uM_vT_1_10c_MOL,150uM_vT_1_15c_MOL,150uM_vT_1_20c_MOL,150uM_vT_1_25c_MOL,150uM_vT_1_30c_MOL,150uM_vT_1_35c_MOL
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.600066,46.23622,49.710227,54.8479,54.600066,52.250732,54.312468,50.924586,45.240893,47.021426,51.967025,50.924586,51.114927,54.698615,41.110769,32.576482,39.212286,42.634351,40.245625,39.282047,41.110769,36.423712,27.648544,32.664312,39.162826,34.02413,35.301072,36.423712,18.401164,15.961704,18.274162,20.558889,19.234476,18.401164,19.000964,14.411237,17.64614,19.016753,19.000964,15.974615,17.375674,15.667296,11.57494,11.859724,14.467557,13.701228,15.667296,13.727898,8.785106,8.342568,10.098541,9.178136,12.15666,13.727898,0.5545315022303866,0.48134175207117386,0.5156924703020442,0.547168585869601,0.5427311089086359,0.5496230102795113,0.5545315022303866,0.41858380841479365,0.4632733282106731,0.48958139938480966,0.5206086771316334,0.5144888471242849,0.4955219925296095,0.4620438294406972,0.1864738876900689,0.14523685717455448,0.1661266483562361,0.18811744563138505,0.1864738876900689,0.17759470186378254,0.18746989391370594,0.16818540338904217,0.13614119404815328,0.15441230637560668,0.17676834015547271,0.16818540338904217,0.1681748056863439,0.1722714280092039,0.11042059791514446,0.09709519388077324,0.11529678059023024,0.12818807135719038,0.11545870644403719,0.1107286954497244,0.11042059791514446,0.10714422509490025,0.08144822127542753,0.09877834096175837,0.11589165223745614,0.10093929463585438,0.10332950937945867,0.10714422509490025,0.04569780233923428,0.03849897141175497,0.04718809453431453,0.05660000318144447,0.05050376760361896,0.04569780233923428,0.050706232194692724,0.03489200768307872,0.04387805997464556,0.04895142696884692,0.050706232194692724,0.03755676730517131,0.03805638330241088,0.03443881542147569,0.027248475843012186,0.028316271944726114,0.036040627600534024,0.031663951730011325,0.03443881542147569,0.027991590935729442,0.01943012221007934,0.020229509375677374,0.024114889193781745,0.02103230047148939,0.025622771966321012,0.027991590935729442
58.927836,77.505146,69.865894,61.947485,62.421353,60.80377,58.927836,91.960653,81.48297,75.253017,67.854289,69.374356,72.364951,77.967409,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.436108,88.571383,96.147096,100.0,97.41465,94.729647,95.436108,88.747358,79.121808,85.658424,97.206761,92.929179,90.946672,88.747358,62.423792,59.420239,63.513197,64.630414,64.469499,62.423792,64.931581,51.595718,62.186155,68.942786,64.931581,58.69122,53.603451,51.174403,41.418601,45.318863,53.891119,50.364069,51.174403,37.063278,26.918877,30.568473,36.181432,35.149569,38.003113,37.063278,0.3267734142026586,0.3730646277017213,0.3602931546672077,0.33895717765628325,0.33878010133267406,0.3341915110374304,0.3267734142026586,0.38493240357051317,0.3774888670439043,0.3684247737078887,0.3532553163399754,0.3569233243842972,0.3585842470882756,0.3602436022592908,0.34152685399696936,0.3141192276846041,0.3341900819648965,0.3429802155258178,0.34152685399696936,0.33988940454227995,0.34516916799602243,0.3302636635848982,0.3009250813155993,0.3283871194710401,0.3401548196293182,0.3302636635848982,0.3290130996104991,0.31494659967021815,0.2563345898018668,0.26398969675955875,0.2827035034861218,0.30066851810923634,0.2794681279691551,0.26702504155964424,0.2563345898018668,0.26105979813726005,0.23308028537401074,0.25903490672385404,0.28765677280136814,0.2756927445124696,0.26620933770664396,0.26105979813726005,0.1550244380236747,0.14331916457921084,0.1640057007381538,0.17793187355688692,0.16927690647864513,0.1550244380236747,0.17327730440173972,0.12492183626360202,0.1546291618837097,0.17746708672652167,0.17327730440173972,0.13798470212875968,0.11740284017690478,0.1124881931905296,0.09750320509651543,0.10820329789578462,0.13425001545562004,0.11639288461902537,0.1124881931905296,0.07557312244840546,0.059536796695235525,0.07412408399351864,0.08639973076827127,0.08054754218627276,0.08009972298388945,0.07557312244840546
15.058445,24.359667,19.261612,16.035571,16.052915,14.947418,15.058445,36.012653,27.254133,23.35254,19.147542,19.438196,22.765736,27.641059,79.322531,91.823164,84.405956,79.863129,79.322531,80.303106,76.422119,84.512517,94.409984,84.274181,79.240292,84.512517,79.533774,82.434153,100.0,100.0,100.0,96.671982,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.428436,100.0,100.0,100.0,100.0,100.0,91.358937,100.0,100.0,100.0,93.060451,98.677249,91.857312,82.548873,94.435827,97.905393,91.879653,91.857312,75.469095,67.662662,67.820411,81.432137,77.673678,80.441442,75.469095,0.08350382127103655,0.11725324793650356,0.09933068274279498,0.08774160707681586,0.08712416359166074,0.08215444877066153,0.08350382127103655,0.15074313443860446,0.12626112902406336,0.11432969212389743,0.09968376510942391,0.10000735050215888,0.11280922864123062,0.12771380750156247,0.2709077446350707,0.2884342135923674,0.2820763335396545,0.27391473196986194,0.2709077446350707,0.2729417488123559,0.2637855923172302,0.2791141348320099,0.2841033211220443,0.27674555544371054,0.26953967232634507,0.2791141348320099,0.26167653507460925,0.2596235618404451,0.26859287870568527,0.2980530367913062,0.2940322851624367,0.2906622157062277,0.2868851122178801,0.28188117449613664,0.26859287870568527,0.2941606420973794,0.2945841244856421,0.3024044742217695,0.29592259822479644,0.29666973008818853,0.29270926780767076,0.2941606420973794,0.24834191108363732,0.2398172848637908,0.25822302841747014,0.275306721007368,0.2625689808426232,0.24834191108363732,0.266861366584836,0.22119521951668028,0.2486552865082424,0.25741211956029986,0.266861366584836,0.218787726872998,0.21612394495726847,0.20191467711345362,0.19432765714624706,0.22547494011303373,0.2438954834736045,0.21233665314978994,0.20191467711345362,0.15388372171250864,0.14965030492737266,0.16445459481862093,0.19445650223808117,0.17799432634488255,0.16954761628671342,0.15388372171250864
6.346125,5.887786,4.786514,4.775974,5.779036,6.191704,6.346125,10.927478,7.11819,5.650569,5.081022,5.555121,6.676703,10.821216,36.722556,49.874591,41.005284,36.960916,36.722556,39.264035,35.32494,40.97381,56.161899,44.465521,39.711088,40.97381,43.185988,45.56025,62.461636,63.259728,60.207724,53.074119,59.976559,61.798346,62.461636,65.097239,72.520643,64.575642,60.464409,62.290588,64.895458,65.097239,95.397298,100.0,93.775112,85.981873,91.364097,95.397298,87.777757,100.0,96.312848,95.228143,87.777757,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.715567,100.0,100.0,100.0,100.0,100.0,0.035191262295918124,0.028340372290601285,0.02468369228795319,0.02613262939729982,0.03136462616702927,0.03403102991239691,0.035191262295918124,0.04574065357608873,0.03297667572135931,0.027664134783404244,0.02645224141896726,0.028580477989259046,0.03308453174088421,0.049998760798449435,0.1254173902140753,0.15666568006005507,0.1370355922095386,0.12676862935711647,0.1254173902140753,0.1334542947607724,0.12193080149309413,0.1353216060163154,0.16900524023413474,0.14601904356969042,0.13507917975923983,0.1353216060163154,0.1420875577162182,0.14349045817625058,0.16776750621906664,0.18854754036992025,0.17703014672149284,0.15957716709683264,0.17206381859157305,0.17419790352398629,0.16776750621906664,0.19149045623006572,0.2136343012529081,0.19527963066543216,0.17892785011406767,0.18479731928994556,0.18995501995223452,0.19149045623006572,0.23691147297535253,0.24119587364704279,0.24214893410827443,0.23671387521701948,0.23989377834896566,0.23691147297535253,0.23424492188771656,0.24211667383638702,0.239486988138648,0.24512878131421334,0.23424492188771656,0.2351028009449449,0.21902104806070188,0.21981339614363377,0.2354092189075035,0.23875995718556445,0.2491134308337892,0.2311030203278956,0.21981339614363377,0.20390296413718578,0.21833037994615828,0.2424853998873893,0.23879577449635292,0.22915655718644165,0.21077147807309746,0.20390296413718578
,,,,,,,,,,,,,,15.005926,20.271097,16.432472,13.435936,15.005926,15.21747,15.849361,16.924498,24.642433,19.107078,15.716232,16.924498,19.679474,21.293899,33.001452,28.390198,24.630579,21.375222,26.210622,28.804227,33.001452,29.748202,36.888468,29.911986,25.489571,29.07798,31.485085,29.748202,62.426528,70.792198,58.699061,49.55037,54.16678,62.426528,54.265207,72.190705,63.477791,54.238487,54.265207,73.306352,77.323336,78.021853,82.463598,76.751276,69.646957,73.241247,78.021853,94.429974,100.0,88.892734,87.619115,92.074397,94.800884,94.429974,,,,,,,,,,,,,,,0.05124926698091326,0.06367541333959696,0.05491569164565867,0.046082602250710945,0.05124926698091326,0.051722568169400095,0.05470710749638606,0.055895467138152834,0.07415526154339208,0.06274518305928482,0.053459520612125194,0.055895467138152834,0.06474804739444227,0.06706441083771059,0.08863954994147495,0.08461784729006468,0.07242185428243925,0.06426856322995947,0.07519437233770436,0.08119369337213331,0.08863954994147495,0.08750750201562547,0.10866757049396626,0.0904551839925893,0.07542940077955423,0.08626556478109744,0.09215976177212278,0.08750750201562547,0.15503123265836194,0.17074786044004436,0.15157449296681813,0.13641549889401858,0.14222516220126585,0.15503123265836194,0.14481287298029008,0.1747857337650383,0.15784088308015332,0.1396164390041377,0.14481287298029008,0.17234528682256064,0.169354380902698,0.1715024848134936,0.19412691193482368,0.18325131371697442,0.17349992405403392,0.16926273394281424,0.1715024848134936,0.19254551601997386,0.2211711755109083,0.21555190151073328,0.2092307442711001,0.21099451821537632,0.19981322443316257,0.19254551601997386
,,,,,,,,,,,,,,7.151665,10.145386,7.676964,6.454126,7.151665,7.178006,7.804126,9.45297,11.853416,9.650437,7.349144,9.45297,10.425103,13.527227,17.645351,11.773542,9.461869,8.62981,11.438473,13.481223,17.645351,12.987786,15.124727,11.832555,9.96623,12.494061,11.634753,12.987786,33.796774,37.190232,29.563685,22.996616,27.575868,33.796774,26.39229,44.071786,34.227745,27.749718,26.39229,43.281016,51.368182,50.57181,48.633637,42.852827,35.131214,43.724465,50.57181,72.711958,72.065232,59.792931,52.268601,62.415057,69.10496,72.711958,,,,,,,,,,,,,,,0.02442485648290236,0.03186860814882195,0.025655652284015597,0.02213637526510784,0.02442485648290236,0.024397281851409127,0.026937436783561267,0.031219725039581356,0.03566990173667626,0.031690792080667454,0.024998467517498863,0.031219725039581356,0.03429995451788713,0.042603541466171665,0.04739415620862243,0.03509139946889989,0.0278209496397762,0.02594712184264269,0.03281527610206191,0.038001029728843304,0.04739415620862243,0.038204954691833555,0.044555044613793525,0.035782175734751696,0.029492326761059128,0.03706609704575363,0.034056000317531004,0.038204954691833555,0.08393155443621786,0.08970130498376208,0.07634024271880135,0.06331122945225576,0.07240567556610705,0.08393155443621786,0.07043082576703302,0.10670514236349048,0.0851090973950606,0.07143113727580606,0.07043082576703302,0.10175488089342975,0.11250713058612881,0.1111636130523058,0.11448806498801062,0.102315391398004,0.08751657248896047,0.1010485592372136,0.1111636130523058,0.14826183764418557,0.15938752074906326,0.14498912783974077,0.12481521057635846,0.14302819578715514,0.1456535456138228,0.14826183764418557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.466168,6.088823,5.550666,4.993957,6.811783,8.545314,11.466168,6.946008,8.157416,6.040019,5.636406,6.259233,7.37288,6.946008,17.602557,18.976769,14.272073,11.475138,14.377266,17.602557,13.634434,23.813007,17.271926,14.458637,13.634434,25.09938,32.61586,29.140897,26.258681,22.546047,17.901744,26.690366,29.140897,52.544061,44.640207,33.592638,29.945561,35.595154,46.572516,52.544061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0307973107084301,0.018147921856347515,0.016320750081534417,0.015015256506912475,0.01954199130358848,0.02408763146758279,0.0307973107084301,0.020432421732935344,0.024030452504251686,0.018265287699844982,0.01667939908169832,0.018569249646690825,0.021581103064338195,0.020432421732935344,0.043714526453386575,0.04577118377953119,0.03685377911855208,0.03159182615887047,0.03775024080923298,0.043714526453386575,0.03638503689850752,0.05765526048882601,0.042947557080791614,0.03721828396122975,0.03638503689850752,0.05900934539981531,0.07143559840601124,0.06405559536241828,0.06181535583751303,0.05383093216423724,0.04459564865748201,0.06168224196256974,0.06405559536241828,0.10713889785705101,0.09873127057240277,0.0814572425870231,0.0715087343172278,0.08156862943161197,0.09816158034902982,0.10713889785705101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.189206,4.850601,4.888487,5.212746,6.473879,8.118609,11.189206,,,,,,,,12.622542,12.831213,9.16484,8.037934,9.664313,12.622542,8.72417,15.582622,11.040572,8.847573,8.72417,15.932813,25.613371,22.074086,20.138681,14.800853,12.479575,20.506519,22.074086,44.483095,33.350833,23.386208,21.222492,24.296896,33.367921,44.483095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030053410499709263,0.014457363583129467,0.014373730035968646,0.01567308615099849,0.018572595033999773,0.022884830401949052,0.030053410499709263,,,,,,,,0.03134706203013477,0.03094835629486293,0.02366572739761567,0.022128972532136377,0.02537548814954114,0.03134706203013477,0.02328143928518429,0.037728126082897086,0.027452965938748786,0.02277472518894481,0.02328143928518429,0.037458489632320305,0.056098673607875876,0.048521798104266406,0.04740831164037381,0.03533851028589833,0.03108829743597585,0.04739118477311378,0.048521798104266406,0.09070234924496028,0.07376242938877993,0.056708139987296624,0.05067841413882653,0.055677930376770254,0.07033006029396349,0.09070234924496028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42367,11.755189,10.265283,,12.599909,16.42367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03610142679842314,0.02767279860600077,0.024509385295777026,,0.02911877025756635,0.03610142679842314,,,,,,,
